snake,trialBlock,orderInTrial,snakeName,soundToPlay,roomSideSoundPlayed,dayNumber,tongueFlickCount,freezeBehaviourCount,headJerkCount,cautionaryExplorationBehaviour,timeOfDay,headDirectionWhenLiftedHutch,headMovementLeftDirection,headMovementRightDirection,headMovementTowardSpeaker,headMovementAwayFromSpeaker,headMovementDistanceTotal,Notes,Fixation behaviour?,hissesNumber,lowerJawDrop,parascoping,secondsOfTrial
9,1,8,Perth Girl,0,1,1,0,0,0,no,16:48:00,left,0,0,0,0,0,,0,0,0,0,30
1,1,9,Squishy,3,1,1,36,1,0,no,16:54:00,right,10,10,0,35,55,,0,0,0,0,30
7,1,10,El Diablo,2,1,1,21,1,0,no,16:56:00,toward the sound,0,0,0,0,0,definite hiss half-way through the trial. Assumed defensive posture by pulling whole body behind head. Also dropped lower jaw!,1,1,1,0,30
8,1,11,Mr Naughty,0,1,2,25,0,0,no,09:00:00,toward the sound,50,20,0,20,90,,0,0,0,0,30
2,1,12,Boss,1,1,2,0,0,0,no,09:10:00,left,0,0,0,0,0,,0,0,0,0,30
5,1,13,Mawa,2,1,2,55,0,0,no,09:16:00,toward the sound,0,10,30,60,100,hissed when putting into hutch,0,0,0,0,30
12,1,14,Dull Sister,3,1,2,9,1,0,no,09:24:00,right,20,0,5,20,45,,0,0,0,0,30
3,1,15,Fibonacci,1,1,2,30,0,2,yes,09:31:00,left,0,100,50,20,170,hissed 3 times!,0,3,0,0,30
15,1,16,Bitey Boy,3,1,2,39,0,0,no,09:37:00,toward the sound,30,30,10,30,100,,0,0,0,0,30
13,1,17,Bright Sister,2,1,2,1,0,0,no,09:42:00,toward the sound,0,0,5,0,5,,0,0,0,0,30
18,1,18,Casper,2,1,2,34,0,0,no,09:48:00,away from sound,20,5,30,10,65,,0,0,0,0,30
19,1,19,Chris' Hoplo,3,1,2,35,0,0,no,09:53:00,away from sound,0,20,0,45,65,,0,0,0,0,30
17,1,1,Elapid Boy,2,1,2,33,1,5,yes,09:59:00,right,60,60,60,90,270,snake dropped lower jaw at Chris after trial. Not happy; Clear retreat behaviour 2/3rds into the trial. Snake has heavy blueing for a shed today.,0,0,0,0,30
14,1,2,Lumpy,0,1,2,51,0,0,yes,10:06:00,away from sound,20,20,80,70,190,moderate blueing of the eye for shed,0,0,0,0,30
4,1,3,Lower Jaw,1,1,2,48,0,0,yes,10:14:00,away from sound,5,10,80,10,105,"reversing movement whole time (ie, not in direction of head). ",0,0,0,0,30
1,2,1,Squishy,0,2,2,2,0,0,no,10:25:00,left,0,5,0,0,5,,0,0,0,0,30
3,2,2,Fibonacci,2,2,2,35,0,1,yes,10:35:00,left,30,70,40,80,220,hissed three times.,0,3,0,0,30
9,2,3,Perth Girl,2,2,2,10,0,0,no,10:41:00,away from sound,10,0,0,10,20,,0,0,0,0,30
6,2,4,Upgrade,2,2,2,7,0,0,no,11:14:00,away from sound,0,0,0,100,100,basically went straight out of grid without delay.,0,0,0,0,7.7
10,2,5,Briggs,3,2,2,6,0,0,no,11:20:00,away from sound,0,15,5,0,20,,0,0,0,0,30
17,2,6,Elapid Boy,3,2,2,30,0,3,no,11:26:00,left,0,40,100,80,220,head jerks were toward the speaker,0,0,0,0,30
16,2,7,Dorsal Girl,1,2,2,8,0,0,no,11:38:00,away from sound,25,0,10,10,45,,0,0,0,0,30
19,2,8,Chris' Hoplo,1,2,2,36,0,0,no,11:46:00,toward the sound,0,5,0,50,55,,0,0,0,0,30
11,2,9,Glory,2,2,2,0,0,0,no,11:53:00,away from sound,0,0,1,0,1,the 1cm movement of head was back toward body (so reverse direction).,0,0,0,0,30
14,2,10,Lumpy,3,2,2,47,0,2,yes,12:00:00,right,60,40,5,40,145,the 5cm toward the speaker was simply moving angle of the head,0,0,0,0,30
8,2,11,Mr Naughty,3,2,2,20,0,1,yes,12:10:00,toward the sound,20,40,0,30,90,,0,0,0,0,30
2,2,12,Boss,3,2,2,15,0,0,no,12:18:00,toward the sound,0,0,0,0,0,,0,0,0,0,30
12,2,13,Dull Sister,2,2,2,5,0,0,no,12:25:00,toward the sound,5,0,0,0,5,,0,0,0,0,30
7,2,14,El Diablo,2,2,2,15,0,0,no,12:31:00,away from sound,0,0,15,0,15,"the 15cm toward-speaker measurement was a reverse movement for a coil. hissed twice. Dropped lower jaw. For whole trial, maintained defensive posture that he had from the start of the trial. ",0,2,1,0,30
4,2,15,Lower Jaw,3,2,2,54,0,0,yes,13:33:00,right,15,0,80,50,145,,0,0,0,0,30
5,2,16,Mawa,1,2,2,45,0,0,no,13:42:00,right,0,0,80,70,150,,0,0,0,0,30
18,2,17,Casper,3,2,2,43,0,0,yes,13:49:00,left,10,10,10,30,60,,0,0,0,0,30
13,2,18,Bright Sister,0,2,2,13,0,0,no,13:54:00,right,5,10,20,0,35,,0,0,0,0,30
15,2,19,Bitey Boy,3,2,2,24,0,0,yes,14:00:00,right,50,0,30,10,90,,0,0,0,0,30
6,3,1,Upgrade,1,2,2,12,0,0,no,14:06:00,toward the sound,100,0,60,40,200,,0,0,0,0,14
9,3,2,Perth Girl,0,2,2,0,0,0,no,14:06:00,left,0,0,0,0,0,,0,0,0,0,30
14,3,3,Lumpy,2,2,2,45,1,1,no,14:21:00,left,10,0,40,40,90,rate of tongue flicking a few sec into the trial. Chris and Christina said defo seemed to respond to the sound. ,0,0,0,0,30
1,3,4,Squishy,2,2,2,4,0,0,no,14:38:00,toward the sound,0,0,0,0,0,,0,0,0,0,30
15,3,5,Bitey Boy,1,2,2,31,0,0,yes,14:45:00,right,0,0,40,50,90,,0,0,0,0,30
8,3,6,Mr Naughty,2,2,2,0,0,0,no,14:52:00,left,0,0,0,0,0,,0,0,0,0,30
4,3,7,Lower Jaw,2,2,2,43,0,2,no,14:58:00,away from sound,20,0,80,0,100,,0,0,0,0,30
12,3,8,Dull Sister,1,2,2,15,0,0,no,15:07:00,away from sound,0,20,0,40,60,Was trying to climb the wall of hutch prior to lifting hutch.,0,0,0,0,30
10,3,9,Briggs,3,2,2,2,0,0,no,15:14:00,toward the sound,0,0,0,0,0,"the 2 tongue flicks were right at the start, then none after that. Was trying to climb the wall of hutch prior to lifting hutch.",0,0,0,0,30
5,3,10,Mawa,1,2,2,53,0,0,yes,15:19:00,toward the sound,30,0,50,30,110,,0,0,0,0,30
11,3,11,Glory,0,2,2,0,0,0,no,15:26:00,away from sound,0,0,0,0,0,,0,0,0,0,30
19,3,12,Chris' Hoplo,1,2,2,35,0,0,no,16:02:00,left,0,25,10,5,40,,0,0,0,0,30
2,3,13,Boss,3,2,2,3,0,0,no,16:10:00,toward the sound,0,5,0,0,5,"she held her initial position the whole time, which was slightly raised whole time.",0,0,0,0,30
7,3,14,El Diablo,2,2,2,4,0,0,no,16:16:00,toward the sound,0,0,0,0,0,"two tongue flicks were at the first few sec of trial, then none rest of trial. Maintained same body position whole time. ",0,0,0,0,30
3,3,15,Fibonacci,1,2,2,33,0,1,yes,16:24:00,away from sound,0,40,60,70,170,"Really interesting behaviour: defensive retreat for most of the trial: head maintained same position but body reversing, gathering coils behind head. Like facing an enemy. Also hissed three times. ",1,3,0,0,30
16,3,16,Dorsal Girl,2,2,2,26,0,0,no,16:31:00,right,25,0,30,20,75,,0,0,0,0,30
17,3,17,Elapid Boy,0,2,2,32,0,0,no,16:37:00,right,40,60,100,80,280,"very different from last sound trial. Normal, non-angry, cruising behaviour. Vs angry and defensive behaviour at sound in last trial!",0,0,0,0,30
