"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"sd(Intercept)",1.0379805604912,1.3836634389896,0.0224371946290367,4.52820730698046,1.00028571547221,8431,10258
"sd(Intercept)",2.89765165107555,1.01223909513787,1.50134419171206,5.37274602973024,1.00036360117631,6950,11461
"sd(Intercept)",0.706372014213608,0.366538576395231,0.0673219241604163,1.49702222588933,1.00061802773692,5559,5622
