"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"sd(Intercept)",0.990794325261682,1.36134796213389,0.0258803654527266,4.53827880253785,1.00086150042528,6493,8986
"sd(Intercept)",0.403860274489673,0.287211033050185,0.0205695416761609,1.07619481064168,1.00059649326007,6049,8788
"sd(Intercept)",0.326545221144311,0.22762556989232,0.0151073037739851,0.857095041247828,1.00032795657917,7159,7662
